Month;Year;ARCA CONTINENTAL;ALFA 'A';ALPEK DE CV;ALSEA DE CV;AMERICA MOVIL 'L';GRUPO AEROPORTUARIO DEL SURESTE 'B';GRUPO BIMBO 'A';BOLSA MEXICANA DE VALORES;CEMEX CPO;GRUPO ELEKTRA;FOMENTO ECONOMICO MEXICANO;GRUPO AEROPORTUARIO DEL PACIFICO;GRUPO CARSO SERIES A1;GENTERA;GRUPO FINANCIERO INBURSA SRIES 'O';GPO FINANCE BANORTE;BANREGIO GRUPO FINANCIERO;GRUPO MEXICO 'B';GRUMA;INFRAESTRUCTURA ENERGETICA NOVA;KIMBERLY-CLARK DE MEXICO 'A';COCA-COLA FEMSA 'L';GENOMMA LAB INTERNATIONAL;GRUPO LALA;EL PUERTO DE LIVERPOOL C1;MEXICHEM DE CV;NEMAK;OHL MEXICO;GRUPO AEROPORTUARIO DEL CENTRO NORTE 'B';INDUST PENOLES;PROMOTORA Y OPRD. INFRE.;GRUPO FINANCIERO SANTANDER MEXICO 'B';GRUPO TELEVISA;CONTROLADORA VUELA COMPANIA DE AVIACION;WALMART DE MEXICO 'V'
3;2004;0.005163511;-0.016826923;NA;0.042492918;-0.006079027;0;-0.01362862;NA;-0.013204225;0.024246098;0.005552471;NA;-0.005908419;NA;-0.005586592;0.009478673;NA;-0.00678733;0.008103728;NA;0.005165289;0.000769823;NA;NA;0;0;NA;NA;NA;0.038054968;0;0;0.00166251;NA;0.008254717
3;2004;0.006849315;-0.017114914;NA;-0.027173913;-0.018348624;0;-0.005181347;NA;-0.015165031;0.000295902;-0.02484815;NA;-0.02526003;NA;0;-0.002816901;NA;-0.029612756;0;NA;-0.006166495;-0.030769231;NA;NA;0;-0.052631579;NA;NA;NA;-0.002240326;0;0;-0.002074689;NA;-0.005847953
3;2004;0.00170068;0.024875622;NA;0;-0.003115265;-0.0176648;0.001736111;NA;0.000905797;0.011093034;-0.001698754;NA;0.00152439;NA;-0.018726592;-0.015065913;NA;-0.025821596;-0.020900322;NA;-0.008273009;0.007936508;NA;NA;0;0;NA;NA;NA;0.030618494;0;0;-0.011642412;NA;0.004705882
3;2004;-0.001131862;-0.016990291;NA;-0.05027933;-0.003125;0.006578947;-0.020797227;NA;-0.002714932;-0.020479813;-0.018718094;NA;-0.02130898;NA;-0.022900763;0.005736138;NA;-0.031325301;-0.010946907;NA;-0.002085506;-0.012204724;NA;NA;0;0;NA;NA;NA;-0.013071895;0;0;-0.011779554;NA;-0.009367681
3;2004;0;-0.039506173;NA;-0.023529412;-0.02507837;-0.019607843;-0.026548673;NA;-0.032667877;-0.045997611;-0.03583815;NA;-0.069984448;NA;-0.02734375;-0.011406844;NA;-0.037313433;0;NA;-0.045977011;-0.005579912;NA;NA;0;0;NA;NA;NA;-0.046758981;0;0;-0.02085994;NA;-0.028368794
3;2004;0.014164306;0.010282776;NA;0.021084337;-0.006430868;0.017333333;0;NA;0.040337711;0.004852849;0.016786571;NA;0.04180602;NA;0.030120482;-0.005769231;NA;0.020671835;-0.005534034;NA;0.038335159;0.002004008;NA;NA;0;0;NA;NA;NA;0.025263158;0;0;0.004347826;NA;0.02676399
3;2004;0;0;NA;0.002949853;-0.003236246;0.026649192;0;NA;0.004508566;0.003894688;-0.008254717;NA;0.008025682;NA;-0.027290448;-0.020309478;NA;0.005063291;0;NA;-0.020042194;-0.002;NA;NA;0;0;NA;NA;NA;0.006776181;0;0.120396601;-0.022943723;NA;-0.007109005
3;2004;0.010614525;0.015267176;NA;0;-0.003246753;0.004255319;-0.007272727;NA;0.012567325;0.019863439;0.028537455;NA;-0.006369427;NA;-0.006012024;0.02171767;NA;0.012594458;0;NA;0.013993541;0.00761523;NA;NA;0;0;NA;NA;NA;0.001019784;0;0;0.017722641;NA;0.001193317
3;2004;0.009950249;0.027568922;NA;0.032352941;0.009771987;-0.012711864;0.029304029;NA;0.007092199;0.004260499;0.01849711;NA;0;NA;0.016129032;0.006763285;NA;0.037313433;0.016694491;NA;0.002123142;0.018297534;NA;NA;0;0.055555556;NA;NA;NA;-0.001629992;0;0;0.008271659;NA;-0.001191895
3;2004;0.009304871;-0.002439024;NA;-0.005698006;0.006451613;0;0.014234875;NA;-0.009683099;0.002727273;0.00737798;NA;0;NA;0.011904762;-0.009596929;NA;0.004796163;0.005473454;NA;-0.002118644;0.000390625;NA;NA;0;0;NA;NA;NA;0.019795918;0;0;-0.002590674;NA;-0.008353222
