MONTH;YEAR;TALLINK GROUP;ARCO VARA;BALTIKA;EKSPRESS GRUPP;HARJU ELEKTER;LHV GROUP;LINDA;MERKO EHITUS;NORDECON;OLYMPIC ENTM.GROUP
2;2005;NA;NA;0;NA;0.125333333;NA;NA;NA;NA;NA
2;2005;NA;NA;-0.031746032;NA;0.099526066;NA;NA;NA;NA;NA
2;2005;NA;NA;0.032786885;NA;-0.090517241;NA;NA;NA;NA;NA
2;2005;NA;NA;0.015873016;NA;-0.049763033;NA;NA;NA;NA;NA
2;2005;NA;NA;0.015625;NA;0.007481297;NA;NA;NA;NA;NA
2;2005;NA;NA;0.092307692;NA;-0.002475248;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.047146402;NA;NA;NA;NA;NA
2;2005;NA;NA;0.014084507;NA;-0.063981043;NA;NA;NA;NA;NA
3;2005;NA;NA;0;NA;0.002531646;NA;NA;NA;NA;NA
3;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.013888889;NA;-0.017676768;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.014084507;NA;-0.023136247;NA;NA;NA;NA;NA
3;2005;NA;NA;0.071428571;NA;0.060526316;NA;NA;NA;NA;NA
3;2005;NA;NA;0.026666667;NA;0.062034739;NA;NA;NA;NA;NA
3;2005;NA;NA;0.064935065;NA;-0.007009346;NA;NA;NA;NA;NA
3;2005;NA;NA;0.134146341;NA;-0.009411765;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.032258065;NA;0.016627078;NA;NA;NA;NA;NA
3;2005;NA;NA;0.055555556;NA;-0.01635514;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.147368421;NA;-0.019002375;NA;NA;NA;NA;NA
3;2005;NA;NA;0.037037037;NA;-0.05811138;NA;NA;NA;NA;NA
3;2005;NA;NA;0.035714286;NA;0.046272494;NA;NA;NA;NA;NA
3;2005;NA;NA;0.022988506;NA;0.012285012;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.078651685;NA;-0.014563107;NA;NA;NA;NA;NA
3;2005;NA;NA;0.036585366;NA;0.017241379;NA;NA;NA;NA;NA
3;2005;NA;NA;0.058823529;NA;-0.00968523;NA;NA;NA;NA;NA
3;2005;NA;NA;0.066666667;NA;0.014669927;NA;NA;NA;NA;NA
3;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.03125;NA;0.019277108;NA;NA;NA;NA;NA
3;2005;NA;NA;0.021505376;NA;-0.002364066;NA;NA;NA;NA;NA
3;2005;NA;NA;-0.010526316;NA;0.009478673;NA;NA;NA;NA;NA
3;2005;NA;NA;0.010638298;NA;0.028169014;NA;NA;NA;NA;NA
4;2005;NA;NA;0.052631579;NA;0.0456621;NA;NA;NA;NA;NA
4;2005;NA;NA;0.01;NA;0.034934498;NA;NA;NA;NA;NA
4;2005;NA;NA;0.01980198;NA;0.012658228;NA;NA;NA;NA;NA
4;2005;NA;NA;0.029126214;NA;-0.022916667;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.056603774;NA;0.038379531;NA;NA;NA;NA;NA
4;2005;NA;NA;0.03;NA;0.016427105;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.019417476;NA;0.016161616;NA;NA;NA;NA;NA
4;2005;NA;NA;0.00990099;NA;0.02584493;NA;NA;NA;NA;NA
4;2005;NA;NA;0.039215686;NA;0.005813953;NA;NA;NA;NA;NA
4;2005;NA;NA;0.028301887;NA;-0.009633911;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.04587156;NA;-0.083657588;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.038461538;NA;-0.10403397;NA;NA;NA;NA;NA
4;2005;NA;NA;0.03;NA;0.068720379;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.029126214;NA;0.006651885;NA;NA;NA;NA;NA
4;2005;NA;NA;0.09;NA;0.037444934;NA;NA;NA;NA;NA
4;2005;NA;NA;0.082568807;NA;0.016985138;NA;NA;NA;NA;NA
4;2005;NA;NA;0.06779661;NA;0.022964509;NA;NA;NA;NA;NA
4;2005;NA;NA;0.087301587;NA;-0.014285714;NA;NA;NA;NA;NA
4;2005;NA;NA;0.094890511;NA;-0.01863354;NA;NA;NA;NA;NA
4;2005;NA;NA;-0.073333333;NA;-0.004219409;NA;NA;NA;NA;NA
4;2005;NA;NA;0.021582734;NA;0;NA;NA;NA;NA;NA
5;2005;NA;NA;0.035211268;NA;0;NA;NA;NA;NA;NA
5;2005;NA;NA;-0.006802721;NA;-0.014830508;NA;NA;NA;NA;NA
5;2005;NA;NA;-0.020547945;NA;-0.021505376;NA;NA;NA;NA;NA
5;2005;NA;NA;0.062937063;NA;0.079120879;NA;NA;NA;NA;NA
5;2005;NA;NA;-0.026315789;NA;0.038696538;NA;NA;NA;NA;NA
5;2005;NA;NA;0.033783784;NA;0.003921569;NA;NA;NA;NA;NA
5;2005;NA;NA;0.026143791;NA;-0.095703125;NA;NA;NA;NA;NA
