"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"45",9,2007,0.00762548003789255,0.00883516007812135,NA,0,0.00949059140314852,0.00336101597678479,0.0222526130760918,NA,0,0.00585099208779457,0,0,0.00562385912914609,NA,0.0157657290134293,0,NA,0.0129063164285504,0.0212682977275834,NA,0.0120169186050081,0,NA,NA,0,0.00499901999881698,NA,NA,0,0,0.0139297428684205,0.0252273470371124,0.0124094995009296,NA,0.0129314667829782
"46",10,2007,0.00240307542967794,0.0159311672985835,NA,0,0.00404719943905452,0,0.0192065653073783,NA,0,0,0.0180131455022654,0,0.00847694715283989,NA,0.00242869280846345,0,NA,0.00215210754907039,0,NA,0.00682233677145472,0.0165748253938427,NA,NA,0.00202082142096445,0.0127322866265432,NA,NA,0,0,0.011436480985143,0,0.0134878331533782,NA,0.0103106562762403
"47",11,2007,0,0.0359537013798968,NA,0.0109099475520507,0.0210642014834591,0,0.028346878682322,NA,0.0277665146858728,0.0127463957173269,0.0218538964923141,0.0124885663504307,0.0257725269604558,NA,0,0.023978098517731,NA,0.0272734806947383,0.00951497012435257,NA,0.00818135599540295,0,NA,NA,0,0,NA,NA,0,0.0404435109160658,0.0452824942971332,0.00242083743413761,0,NA,0
"48",12,2007,0.0103167377110675,0.0244192680240479,NA,0.0206094124706758,0.0049489564346069,0,0.0243700511183753,NA,0,0,0.0155519062701845,0,0.000425654840297303,NA,0.0206537541143262,0.0272833426864468,NA,0,0.00679056848785582,NA,0,0.00514405600046609,NA,NA,0,0,NA,NA,0,0,0,0.00260980185896172,0.00949731333789324,NA,0.00945385870605985
"49",1,2008,0,0,NA,0,0,0,0,NA,0.0173234592906678,0.0183832405311888,0.0345331155923142,0,0.0159716014725309,NA,0.0350495184603513,0.0186497156271383,NA,0.0174486391367811,0.0314620341125766,NA,0,0.0327939958799449,NA,NA,0.000558937081013938,0.00967839927708602,NA,NA,0.00347943119831531,0.023019413613057,0.0208015109632544,0,0,NA,0.0295514538588674
"50",2,2008,0,0,NA,0.0107712937957975,0,0.0111985077121652,0,NA,0.0102113911053591,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0.00168193176341419,0.00101781936426498,NA,NA,0,0,0,0,0,NA,0
"51",3,2008,0.0028376327819324,0.00446291964207051,NA,0,0.0272451950082598,0.0130647977409059,0,NA,0,0,0.0141956054049296,0.0229309004324032,0.0363119427752565,NA,0.0113526684557656,0.00962738970228751,NA,0.0376275096896602,0.018995452068306,NA,0.00581047967219718,0,NA,NA,0,0.00394209177043408,NA,NA,0,0,0.0226375518704248,0.000265110651624264,0.0228520131150505,NA,0.0123743716963782
"52",4,2008,0.00253761848253768,0.012322921122442,NA,0,0.0233742560220617,0,0.0236763980584111,NA,0.0118580092698348,0.0151791904910152,0.0126626587996705,0,0.0281611620947986,NA,0.00964948384958513,0.0104454571315311,NA,0,0,NA,0.0035043231095158,0.0104008544306224,NA,NA,2.75678108006941e-05,0,NA,NA,0.00685117168762351,0,0,0.000252823894558587,0,NA,0.0203848072578834
"53",5,2008,0.0039984456910819,0.00528981113675933,NA,0,0.00283336048270063,0,0,NA,0,0,0.0165447871287546,0,0,NA,0,0,NA,0,0,NA,0.0100701932891922,0.0365816661427873,NA,NA,0,0,NA,NA,0,0.0134587163751263,0,0,0.00717524206894789,NA,0
"54",6,2008,0.00993352479066032,0.0155486511542772,NA,0,0.0104645834893015,0.0138855673965456,0.019091341326022,0.0221455018706097,0,0.00844559369385116,0.00190948268817107,0,0.0160572142398666,NA,0,0,NA,0,0.0165824809050457,NA,0.0108291428383158,0,0.0107041719497937,NA,0,0.0314681352620423,NA,NA,0,0.00906245549846704,0,0.00975345653523823,0,NA,0.0104155562271407
"55",7,2008,0.00712737504220007,0.00593363941174365,NA,0,0,0.0261469305813194,0.0234758048292073,0,0,0.0376533625798153,0,0,0,NA,0.00971694666747912,0.0173081819709145,NA,0.0010303776050253,0,NA,0,0,0,NA,0.0128294035182878,0,NA,NA,0,0.0203727634501846,0.018481089789388,5.34147252431873e-05,0.00665337524097272,NA,0
"56",8,2008,0.0122511112182399,0,NA,0,0.0106916966784711,0.0127982572300098,0.0200366106494148,0,0,0,0.0180151128566062,0.00985110193374078,0.0178812065508003,NA,0.0103460444966751,0.0103597002155475,NA,0,0,NA,0.00585647436112559,0,0.00295623059591348,NA,0.00394607053759005,0,NA,NA,0,0,0.0137067817662137,0,0,NA,0.0158185761448799
"57",9,2008,0.0136212647992975,0,NA,0.0255468927721162,0.0292766425285732,0.0218652322133339,0.0298814439088855,0.0208132906421564,0,0.0196835697540925,0.0517526397669931,0.00727227004529244,0.0306337132186982,NA,0.0234180598050234,0.0438504198660387,NA,0,0,NA,0.0346522380402443,0.0356716507029078,0,NA,0.00395369909793902,0.0482281182408406,NA,NA,0.0234543743517457,0,0.0713743100594391,0.00173767390970113,0.0428699440541418,NA,0.0246302258320409
"58",10,2008,0.0119254347270302,0.0570305000629643,NA,0,0,0.0153208289487161,0,0,0,0,0,0,0,NA,0,0.0416198212611809,NA,0,0.162303220776707,NA,0,0,0,NA,0.0157967841948696,0,NA,NA,0,0,0.0279647790749807,0.000544142792965237,0,NA,0
"59",11,2008,0,0.0287021075727775,NA,0,0.057471944352922,0,0.00885719640810895,0,0,0.0407360182123037,0,0.024672520339802,0.0262754987423344,NA,0,0,NA,0.0406169440300068,0,NA,0,0.0160820864195857,0,NA,0,0,NA,NA,0,0,0,0.00445313709517975,0,NA,0
"60",12,2008,0,0,NA,0,0.0135246231041575,0.0230451428676298,0.0371823743013221,0,0,0.00787111072288634,0.00429942085485671,0.0143733232679666,0.0368000605181054,NA,0,0.00979568447810598,NA,0.0212419023121378,0,NA,0,0.0193116770592781,0.0363313358441891,NA,0.00232621052599618,0,NA,NA,0.0203067809397666,0.0341592064893104,0.0338722831019317,0,0,NA,0
"61",1,2009,0,0.0242249806585543,NA,0.00619797953344841,0.0096738800578395,0,0,0.0121503661622055,0.0485242745525718,0,0.0257237817783534,0.0122472568353331,0.0274033855127038,NA,0.0254243779016065,0,NA,0.0363409208358541,0.0115687516830318,NA,0,0,0.0204172571846459,NA,0,0.0308745491171139,NA,NA,0,0.0216240654682337,0,0,0,NA,0
"62",2,2009,0,0.0344331768472601,NA,0.0255065917644582,0,0,0,0.0114235834890363,0,0,0.0274833871865982,0,0.00842946449688356,NA,0,0,NA,0,0.0431765468743859,NA,0.00530183071608164,0.0395651137798853,0,NA,0,0.0250986174026969,NA,NA,0.0239451322567107,0,0.0331044051877307,0,0.0178504045182885,NA,0
