"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"53",5,2008,0,0.017134443586709,0.0075034097429904,NA,0,0.0475064687634022,NA,0,0.00975900072948533,0.0124237582869229,0,NA,0.0182962819608076,0.0289409272373212,NA,0.00014601992672499,NA,0.0100568791038665,1.38450943349206e-06,0.0254934903042385,0.0149954903079384,0,0.0127291314244726,0,NA,0.0153598245662876,0,0.00273252020425589,0.00121987509118567,NA,NA
"54",6,2008,0.0215778830666892,0.0292976814268141,0,NA,0.0511342859814291,0.0216482381097393,NA,0.00134491541898404,0.0126690590382659,0.0234513330948681,0.00400725106309458,NA,0.0269130789522636,0.0301031969233722,NA,0,NA,0.0332724109822991,0.000385706096487222,3.30854421045364e-05,0.0117814115487388,0.0102597835208515,0,0.00330305984317257,0,0.00580207327654541,0.014581052039744,0,0,NA,NA
"55",7,2008,0.0174316251339838,0,0.011248237456808,NA,0.000408060128533408,0,0,0.0347725638154077,0.00600312393505309,0.0231509705018888,0.0329571503839013,NA,0.00820022981758236,0.0344584265881252,NA,0,NA,0.0336565961570114,0,0.00600312393505309,0.0292320249002381,0.00845894737571777,0,0,0.00983444195095885,0,0.0558256585842935,0.0055160362937558,0.00574226119789314,NA,NA
"56",8,2008,0.00756790345499741,0.00886687524024591,0.002298361642325,NA,0.00763017504720498,0.0240447404338367,0.0172872386424737,0.000453131136633885,0.0063646189511569,0.00699993885303438,0,NA,0.0244513157927884,0.0259439050759109,NA,0,NA,0.0159252208999741,0,0.0102286932988483,0.0271326798342442,0,0,0.012119911760482,0.00378565316565665,0.00200570039440568,0.429188234886907,0.0131836919444806,0.00130053590458191,NA,NA
"57",9,2008,0,0,0.0137424482932083,0.0517312200782005,0.000257149766811946,0,0,0.000120184728913808,0.00922556205698959,0,0.0282728293144941,NA,0.0274836755381482,0,NA,0.00281883485728791,NA,0,0,0,0.0136200262660634,0,0.00578033117878977,0.00271083355765482,0,0.00922200015408025,0.020285700388271,0.00414804823120662,0.000139215463466356,NA,NA
"58",10,2008,0.0578303627654277,0.0501875697253208,0.0269957755050552,0.0323314837929,0,0.0589076298805845,0,0,0.0279145263119541,0,0.004252406541281,NA,0.0359513427500992,0,NA,0,NA,0.0255500821264655,0,0.00128414460310356,0.0444384533228337,0,0,0,0.0729965566014405,0,0.0082334135422035,0.0331318476025981,0.000132926275893315,NA,NA
"59",11,2008,0.00891999695724271,0,0,0,0.0014419681517798,0.065541481801557,0.00130303080381439,0,0,0.0247726458439609,0.000801093393622639,NA,0,0.0234229915222036,NA,0,NA,0,0,0,0.0354323852670285,0,0,0,0,0.0267994633171835,0.00126633274948334,0,0.000154717598927324,NA,NA
"60",12,2008,0,0,0.00928770863332902,0,0.0100592887510053,0.00375410172673052,0,0.00106060088921849,0,0.012337962357166,0.00965703484394474,NA,0.0196332897076098,0,NA,0,NA,0.0273499703782531,0.0170213160622864,0.0184407612199126,0.00383602071403604,0,0,1.67655575513808e-05,0.0215010072062393,0.0223359392785557,0.00801587363199143,0,0,NA,NA
"61",1,2009,0.0172289354197092,0.00656077822876182,0.0215932953779685,0.0046720291028963,0.00679293290168176,0.013569588772769,0,0.00875280725733507,0.0140808438818031,0,0.00277894494180614,NA,0,0.0520708694850499,NA,0,NA,0,0,0,0,0,0,0,0.0279916887429103,0,0.00194905459692057,0,0,NA,NA
"62",2,2009,0,0.0177713675239308,0.0163685713959463,0.0072597780435609,0,0,0.00346626967673522,0,0,0.0363996037527344,0.00102634843532888,NA,0.041983781008457,0,NA,0.0108147614087175,NA,0.0130539838498171,0.0206795661695963,0,0.0399923813952201,0.0108147614087175,0,0,0.0295377818228249,0.00982215580789149,0.0726924069415622,0,0.00772482953130638,NA,NA
"63",3,2009,0.01978905276038,0.0355468126804172,0.012550200991043,0.024202467537737,0.00178915010120897,0.0194063104763418,0,0.0162655135156535,0,0,0.0059361656349584,NA,0.0233096046924893,0.0341104813885376,NA,0,NA,0.0296828664419294,0.00190424063174199,0,0.0168557041694844,0,0,0,0.0570853892281455,0,0.00198021723550575,0,0.0150138472911451,NA,NA
"64",4,2009,0.0101937468628162,0.0126769824292024,0,0.0223920465563383,0.0241593258964797,0,0,0.00348535743127048,0.00798315585469092,0.0274408128375901,0.016295650450954,NA,0.00607786592214817,0,NA,0,NA,0.0268825393964228,0.00376980146409267,0.0124289160657515,0,0,0,0,0.0204166428149657,0,0.00194844682078221,0,0.0400939579934777,NA,NA
"65",5,2009,0.0135394533676212,0,0.0025458367917441,0,0.0112214256432168,0.0510875127959895,0,0.00746412824835548,0,0.0148178953510444,0.00861220120487166,NA,0,0.0876985798156415,NA,0,NA,0,0.000512989176042577,0,0,0,0,0,0,0.0330807913688387,0,0,0,NA,NA
"66",6,2009,0,0.0416731299292959,0,0.0258775838007858,0,0.0105562106295731,0.0114178153747617,0,0,0,0.000401249317373388,NA,0.012246771567432,0,NA,0,NA,0,2.42764902146678e-06,0,0,0,0,0,0.0120347369449097,0,0.00894930200159035,0.00419741969902713,0,NA,NA
"67",7,2009,0,0.00825751736542314,0,0.0101780669587025,0,0.000868081055903047,0.000232621052599618,0,0.00497408077987458,0.019664537961543,0.000163529715476479,NA,0.026838770751639,0,NA,0,NA,0,0,0,0,0,0,0,0.0117702852777795,0.0185910340146867,0,0.0410743403140361,0,NA,NA
"68",8,2009,0.0120146359183707,0.00473830672917013,0.00645688829768864,0.00707486809937626,0,0.0119706899829288,0,0.00353785642541695,0.00012840775702491,0.015425114812424,0.0162994938007091,NA,0.0138857301406091,0.0686112751133435,NA,0.00447025642058461,NA,0.0152673929855106,0,0,0.0104535595170362,0,0,0,0.00841898959457122,0.0019550698474383,0,0.0339048036541342,0,NA,NA
"69",9,2009,0.00560731314576791,0.655378740577942,0.00817529277561414,0,0.0344851947736384,0.00134528430114001,0.00807135399486373,0.000143741980774713,0,0.00775104782927045,0.00590772292974231,NA,0.0105651237063061,0,NA,0.0194972664125307,NA,0.0125791142533162,0,0.00532788692430956,0,0,0,0.000197817579716865,0.0209134245480244,0.00478281780253145,0,0,0,NA,NA
"70",10,2009,0,0,0,0.0173375378685966,0.000190233957839989,0,0.00026663932153129,0.00091727863387658,0.00609937545592833,0,0.0517861937257225,NA,0,0,NA,0,NA,0.0124821870164539,0.00325300021063177,0,0.00801263991515241,0.0017743637512537,0,0,0,0.0027427154176053,0,0,0.00390360029179413,NA,NA
"71",11,2009,0.00200030420057298,0.0157768144151278,0.0113119391884413,0.0161525154446602,0,0.00920103665137481,0,0.00289909031585111,0,0.0291658768084512,1.42098001763795e-07,NA,0,0.0175204983696608,NA,0,NA,0.0081549751481746,0.00353785642541695,0,0,0,0.00171368928173762,0,0.0349576113630834,0.00267824463644963,0,0.0267388509783271,0,NA,NA
"72",12,2009,0,0,0.0130957225646903,0.00991680970244481,0,0.000758133039365309,0,0,0,0.0265825941031236,0,NA,0.00653836638942305,0,NA,0.00267307363849589,NA,0.0304844025214777,0,0,0.017958546519294,0,1.18171494720651e-08,0,0.0219496661393169,0.0111701392187068,0,8.07248090120668e-05,0.000106952274402147,NA,NA
"73",1,2010,0,0.0147437146697817,0.00632615448675353,0.0083344974002598,0.00318918927601619,0.00150880198928165,0,0.00337000185271107,0.00683985571476697,0.0151188479731872,0,NA,0.0245761533956785,0,NA,0.0188201260408304,NA,0.00286245545593008,0.0262445011098686,0,0,0,0,0,0,0,0,0.000899810716194187,0,NA,NA
"74",2,2010,0,0.0090520187957239,0,0.0169114795619136,0,7.23329094679957e-05,0,0,0.00675922588044844,0.0121244828399181,0.00125753039887756,NA,0.0110609707764887,0,NA,0.0107902381801899,NA,0.0146767922378996,0.0130163882213446,0.00432837789942118,0.0196293655318023,0.00320437379078578,0,0.00563802722907008,0.0150503683914018,0.00303218968029442,0,0,0,NA,NA
"75",3,2010,0,0,0.814956178151601,0,0.0731645630416041,0.00261314691950623,0,0,0,0,0,NA,0.029265884430415,0,NA,0.00656260901692148,NA,0,0.00479608325498775,0,0,0,0.00667954734091805,0.00511766315719159,0,0,0,0.00263455604167086,0.00310161400364543,NA,NA
"76",4,2010,0.00739457920087342,0,0.00696789317272221,0.0263670981082021,0,0.0050542727473669,0,0.00184132093838875,0.0148708583148667,0.0150577805841641,0.00344435323308541,NA,0.0247228050270396,0.0188850578602814,NA,0,NA,0.0266458369817925,0.000973204246587021,0,0.00505564519596181,0,0.00717102431591627,0,0.0199108188057433,0.0183928248117985,0,0.0197067768591195,0,NA,NA
